#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
1,N0,Sol,,,,,,,,,,,,,,,,,0,,,,,,,-26.72,,,,,,4.85,0,G2 V,8 planets,0000+0000
2,N1 Cen C,Proxima Centauri,,,,V645,551,49,3278,70890,,,,,14 29 43.0,-62 40 46.2,0.76887,0.00029,1.301,3.853,281.5,-0.5485,0.76816,,12.88,11.05,9.43,7.43,,,,15.48,,M5.5 V,Gl 559 AB same system; parallaxes NOT combined,1439-6050 C
3,N1 Cen,Rigil Kentaurus,Alp,,363 G.,,559 A,50,3309.00 A,71683,,CPD-60 5483,128620,5459,14 39 36.5,-60 50 02.3,0.74723,0.00117,1.338,3.71,277.5,-0.5032,0.48184,,0.64,0.01,-0.35,-0.68,,,,4.38,,G2 V,Gl 551 same system; parallaxes NOT combined,1439-6050 A
4,N1 Cen B,Rigil Kentaurus B,,,364 G.,,559 B,51,3309.00 B,71681,,,128621,5460,14 39 35.1,-60 50 13.8,0.74723,0.00117,1.338,3.724,284.8,-0.4926,0.95211,,2.18,1.34,0.87,0.46,,,,5.71,,K0 V,Gl 551 same system; parallaxes NOT combined,1439-6050 B
5,N1 Oph,Barnard's Star,,,,V2500,699,57,4098,87937,140-024,BD+04 3561a,,,17 57 48.5,+04 41 36.2,0.54698,0.001,1.828,10.358,355.6,-0.0534,10.32693,12.54,11.28,9.55,8.34,6.77,5.24,4.83,4.52,13.24,-106.8,M4.0 V,,1757+0441
6,N1 Leo,Wolf 359,,,,CN,406,36,2553,,045-020,,,,10 56 29.2,+07 00 53.0,0.4191,0.0021,2.386,4.696,234.6,,,17.03,15.44,13.45,11.57,9.39,7.09,6.482,6.084,16.56,13,M6.0 V,,1056+0700
7,N1 UMa,Lalande 21185,,,,,411,37,2576,54035,119-052,BD+36 2147,95735,,11 03 20.2,+35 58 11.6,0.39342,0.0007,2.542,4.802,186.9,-0.0478,-4.76709,10.12,8.98,7.47,6.46,5.32,4.203,3.64,3.254,10.44,-85,M2.0 V,,1103+3558
8,N1 CMa,Sirius,Alp,9,66 G.,,244 A,219,1577.00 A,32349,,BD-16 1591,48915,2491,06 45 08.9,-16 42 58.0,0.38002,0.00128,2.631,1.339,204.1,-0.038,-1.22308,,-1.43 J,-1.43 J,-1.42 J,-1.41 J,,,,1.47,,A1 V,,0645-1642 A
9,N1 CMa B,Sirius B,,,,,244 B,,1577.00 B,,,,,,06 45 08.9,-16 42 58.0,0.38002,0.00128,2.631,1.339,204.1,-0.038,-1.22308,,,8.44,,,,,,11.34,,DA2,,0645-1642 B
10,N1 Cet,Luyten 726-8 A,,,,BL,65 A,9,343.1,,,,,,01 39 01.3,-17 57 01.0,0.3737,0.0027,2.676,3.368,80.4,,,,12.81 J,12.54 *,9.78 J,8.06 J,,,,15.4,,M5.5 V,,0139-1757 A
11,N1 Cet B,Luyten 726-8 B,,,,UV,65 B,10,343.10 B,,,,,,01 39 01.3,-17 57 01.0,0.3737,0.0027,2.676,3.368,80.4,,,,,12.99 *,,,,,,15.85,,M6.0 V,,0139-1757 B
12,N1 Sgr,Ross 154,,,,V1216,729,3414,4338,92403,,,,,18 49 49.4,-23 50 10.5,0.3369,0.00178,2.968,0.666,106.8,0.0465,-0.19247,,12.19,10.47,9.24,7.69,6.222,5.655,5.37,13.11,-4,M3.5 V,,1849-2350
13,N1 And,Ross 248,,,,HH,905,549,5736,,171-010,,,,23 41 54.7,+44 10 30.0,0.316,0.0011,3.165,1.617,177,,,,14.2,12.29,10.77,8.82,6.884,6.247,5.929,14.79,-81,M5.5 V,,2341+4410
14,N1 Eri,,Eps,18,101 G.,,144,1557,742,16537,,BD-09 697,22049,1084,03 32 55.8,-09 27 29.7,0.30999,0.00079,3.226,0.977,271.1,-0.066,0.01797,,4.61,3.73,3.23,2.79,2.228,1.88,1.776,6.19,15.5,K2 V,SB in YPC,0332-0927
15,N1 PsA,Lacaille 9352,,,,,887,70,5584,114046,,CD-36 15693,217987,,23 05 52.0,-35 51 11.1,0.30364,0.00087,3.293,6.896,78.9,0.5566,1.32666,,8.84,7.34,6.37,5.32,4.34,3.61,3.46,9.75,9.7,M1.5 V,,2305-3551
16,N1 Vir,Ross 128,,,,FI,447,315,2730,57548,010-050,,,,11 47 44.4,+00 48 16.4,0.29872,0.00135,3.348,1.361,153.6,0.0404,-1.21923,14.22,12.88,11.12,9.82,8.14,6.505,5.945,5.654,13.5,-31,M4.0 V,,1147+0048
17,N1 Aqr,,,,,EZ,866 A,68,5475,,156-031,,,,22 38 33.4,-15 18 07.0,0.2895,0.0044,3.454,3.254,46.6,,,,14.28 J,13.33,10.64 J,8.58 J,,,,15.64,,M5.0 VJ,SB3 in Del99b,2238-1518 A
18,N1 Aqr B,,,,,,866 B,,,,,,,,22 38 33.4,-15 18 07.0,0.2895,0.0044,3.454,3.254,46.6,,,,,13.27 *,,,,,,15.58,,,interferometric companion in Lei86,2238-1518 B
19,N1 Aqr C,,,,,,866 C,,,,,,,,22 38 33.4,-15 18 07.0,0.2895,0.0044,3.454,3.254,46.6,,,,,14.03,,,,,,16.34,,,spectroscopic companion,2238-1518 C
20,N1 CMi,Procyon,Alp,10,26 G.,,280 A,233,1805.00 A,37279,,BD+05 1739,61421,2943,07 39 18.1,+05 13 29.9,0.28605,0.00081,3.496,1.259,214.7,-0.048,-1.03458,,0.79 J,0.37 J,0.13 J,-0.12 J,,,,2.65,,F5 IV-V,,0739+0513 A
21,N1 CMi B,Procyon B,,,,,280 B,,,,,,,,07 39 18.1,+05 13 29.9,0.28605,0.00081,3.496,1.259,214.7,-0.048,-1.03458,,,10.7,,,,,,12.98,,DA,,0739+0513 B
22,N1 Cyg,,,61,,V1803,820 A,62,5077.00 A,104214,,BD+38 4343,201091,8085,21 06 54.0,+38 44 57.9,0.28604,0.00056,3.496,5.281,51.9,0.3551,3.2589,,,5.21,,,,,,7.49,,K5.0 V,,2106+3844 A
23,N1 Cyg B,,,,,,820 B,63,5077.00 B,104217,,BD+38 4344,201092,8086,21 06 55.3,+38 44 31.4,0.28604,0.00056,3.496,5.172,52.6,0.351,3.14372,8.62,7.4,6.03,,4.41,,,,8.31,,K7.0 V,,2106+3844 B
24,N1 Dra,,,,,,725 A,58,4330.00 A,91768,227-046,BD+59 1915,173739,,18 42 46.7,+59 37 49.5,0.283,0.00169,3.534,2.238,323.6,-0.1749,1.80212,11.55,10.44,8.9,7.83,6.44,,,,11.16,,M3.0 V,,1842+5937 A
25,N1 Dra B,,,,,,725 B,59,4330.00 B,91772,227-047,,173740,,18 42 46.9,+59 37 36.7,0.283,0.00169,3.534,2.313,323,-0.1837,1.84573,12.41,11.27,9.68,8.56,7.13,,,,11.94,,M3.5 V,"CNS91 ""VAR"" refuted by Tok92",1842+5937 B
26,N2 And,,,,,GX,15 A,3,49,1475,171-047,BD+43 44,1326,,00 18 22.9,+44 01 22.6,0.28059,0.00095,3.564,2.918,81.9,0.2678,0.41058,10.87,9.63,8.08,,5.94,,,,10.32,,M1.5 V,,0018+4401 A
27,N2 And B,,,,,GQ,15 B,4,,,171-048,,,,00 18 25.2,+44 01 26.6,0.28059,0.00095,3.564,2.918,81.9,0.2678,0.41058,14.26,12.86,11.07,9.83,8.25,,,,13.31,,M3.5 V,,0018+4401 B
28,N1 Ind,,Eps,,64 G.,,845 A,67,5314,108870,,CPD-57 10015,209100,8387,22 03 21.7,-56 47 09.5,0.27584,0.00069,3.625,4.704,122.7,0.4819,-2.53884,,5.73,4.68,4.06,3.54,,,,6.88,,K5 Ve,,2203-5647 A
29,N1 Ind B,,,,,CI,845 B,,,,,,,,22 04 10.5,-56 46 57.7,0.27584,0.00069,3.625,4.823,121.1,,,,,15.6,,,,,,17.8,,T1.0,Brown dwarf,2203-5647 B
30,N1 Ind C,,,,,,,,,,,,,,22 04 10.5,-56 46 57.7,0.27584,0.00069,3.625,4.823,121.1,,,,,,,,,,,,,T6.0,Brown dwarf,2203-5647 C
31,N1 Cnc,,,,,DX,1111,248,2016.01,,051-015,,,,08 29 49.5,+26 46 37.0,0.2758,0.003,3.626,1.29,242.2,,,14.3,16.95,14.9,12.9,10.64,8.23,7.62,7.26,17.1,9,M6.5 V,,0829+2646
32,N2 Cet,,Tau,52,177 G.,,71,146,365,8102,,BD-16 295,10700,509,01 44 04.1,-15 56 14.9,0.27439,0.00076,3.644,1.922,296.4,-0.1194,0.85407,,4.21,3.49,3.06,2.68,2.149,1.8,1.794,5.68,-16.4,G8 V,,0144-1556
33,N1 Hor,,,,,,1061,1565,,,,,,,03 35 59.6,-44 30 46.2,0.27201,0.0013,3.676,0.826,117.7,,,,14.93,13.09,,,7.523,7.015,6.61,15.26,,M5.5 V,,0336-4430
34,N3 Cet,,,,,YZ,54.1,138,248.01,5643,268-135,,,,01 12 30.6,-16 59 56.2,0.26884,0.00295,3.72,1.372,61.9,0.0844,0.64695,15.24,13.91,12.05,10.68,8.9,7.258,6.749,6.42,14.2,28,M4.5 V,not combined with NS 0104-1807 because of mismatch,0112-1659
35,N2 CMi,Luyten's Star,,,,,273,33,1755,36208,089-019,BD+05 1668,,,07 27 24.5,+05 13 32.9,0.26376,0.00125,3.791,3.738,171.2,0.0382,-3.69425,12.55,11.43,9.86,8.71,7.16,5.714,5.219,4.857,11.97,,M3.5 V,,0727+0513
36,N1 Ari,Teegarden's Star,,,,,,,,,,,,,02 53 00.9,+16 52 53.3,0.26063,0.00269,3.837,5.106,138.2,,,,17.21,15.14,14.1,10.4,8.394,7.883,7.585,17.22,,M7.0 V,,0253+1652
37,N1 Pav,2MASS J18450541-6357475,,,,,,,,,,,,,18 45 05.4,-63 57 47.5,0.25945,0.00111,3.854,2.664,76.6,,,,19.05,17.40 J,16.3,,,,,19.47,,M8.5 V,,1845-6357 A
38,N1 Pav B,2MASS J18450541-6357475 B,,,,,,,,,,,,,18 45 02.6,-63 57 52,0.25945,0.00111,3.854,2.664,76.6,,,,,,,,,,,,,T5.5,Brown dwarf,1845-6357 B
39,N1 Pic,Kapteyn's Star,,,,VZ,191,29,1181,24186,,CD-45 1841,33793,,05 11 40.6,-45 01 06.4,0.25527,0.00086,3.917,8.67,131.4,0.6134,-5.73139,,10.4,8.84,7.88,6.88,5.821,5.316,5.049,10.87,245.5,M1.5 V,,0511-4501
